Gene ID,log2FC,p-value,Significant
PEX6,0.40465276,0.029264675,Yes
TRPC5,-0.208257992,0.029300658,Yes
LHFPL2,0.336241863,0.02931661,Yes
CD24,-0.365929302,0.029333178,Yes
EYA2,0.34920266,0.029342645,Yes
RHBDL3,0.406330691,0.029353506,Yes
ZFP1,-0.298541125,0.029369601,Yes
EIF4EBP2,0.335395611,0.029403643,Yes
HDGF,0.360527217,0.029405161,Yes
CNTLN,0.38270515,0.029413958,Yes
L3HYPDH,0.392063724,0.029432348,Yes
FMN1,-0.399700463,0.029439243,Yes
HEIH,0.297562376,0.029440768,Yes
MTCL1,-0.373261056,0.029451966,Yes
TRIM16,0.394141717,0.029461443,Yes
EPB41L4A-AS1,0.319686316,0.029466994,Yes
SMIM8,0.220793047,0.029476101,Yes
LANCL1,-0.377953339,0.029511549,Yes
FILIP1,-0.402679995,0.029536146,Yes
HIKESHI,0.358957531,0.029554358,Yes
MAF1,0.331809465,0.02956504,Yes
FABP7,0.371814228,0.029578822,Yes
RNF215,-0.294043258,0.029581516,Yes
TRIT1,-0.319064321,0.02959007,Yes
TMEM268,-0.352308182,0.029626927,Yes
TRAPPC12,-0.205118965,0.029646967,Yes
TP53,0.404165511,0.0296557,Yes
IL17D,0.388928539,0.029683498,Yes
ACVR2A,-0.306297354,0.02968883,Yes
STIM2,-0.280991609,0.029712377,Yes
PPIF,0.323759035,0.029713615,Yes
ZDHHC2,0.237699365,0.029715078,Yes
LOC101929322,-0.375228256,0.029718373,Yes
NXT1,0.373449575,0.029731422,Yes
HTR5A-AS1,-0.405631696,0.029745142,Yes
FBXL20,-0.246209495,0.02975806,Yes
HEPACAM,0.388500056,0.02976239,Yes
PABPC4,0.319729934,0.029765258,Yes
DHDDS,-0.22881956,0.029785702,Yes
PRKXP1,-0.387252451,0.029824899,Yes
UBE2H,0.192421357,0.029825368,Yes
DACT3,0.217975822,0.029843417,Yes
CYP21A1P,0.384095697,0.029856511,Yes
NUDT4P2,-0.296151426,0.029866005,Yes
SYNJ2BP-COX16,0.262968468,0.02989761,Yes
TMEM132E,-0.361703789,0.029911333,Yes
RUSC1-AS1,-0.260287212,0.029919479,Yes
SORCS3,-0.373528724,0.029919545,Yes
C1orf131,0.34550433,0.029922397,Yes
RNA18SN2,0.035604368,0.029948656,Yes
PPP2CB,0.291493523,0.029952907,Yes
ETHE1,0.34897007,0.029958256,Yes
NDC1,-0.338370011,0.030021055,Yes
GRM3,-0.40169206,0.030049588,Yes
U2AF1,0.322024679,0.030055992,Yes
PPAN,-0.255547614,0.03006005,Yes
SPECC1,-0.210407107,0.030068421,Yes
RNF135,0.393566999,0.030112712,Yes
VWF,0.398957952,0.030120095,Yes
DPP6,-0.39451952,0.030131862,Yes
RPS2,0.406160841,0.030133093,Yes
LINC01560,0.341101899,0.030151314,Yes
PTPRR,-0.40036553,0.030158748,Yes
LCOR,-0.263082463,0.030176829,Yes
PMS2,-0.309243747,0.030180797,Yes
PRLR,-0.409413002,0.030189358,Yes
SEC14L1,0.328811637,0.030253449,Yes
TMEM19,-0.195866142,0.030269522,Yes
PTGR2,0.379787348,0.03027144,Yes
SLC25A1,0.403825542,0.03028117,Yes
LOC112268112,0.235182442,0.030331505,Yes
STAG2,0.311356201,0.030334082,Yes
RNA18SN5,0.029844246,0.030408904,Yes
DENND4C,0.308605397,0.030426096,Yes
LOC101927911,-0.391176726,0.030431531,Yes
CUL5,-0.315266468,0.030447899,Yes
SYT9,0.245960991,0.030458461,Yes
MAN2A2,-0.268758068,0.03048108,Yes
SF3B6,0.335133765,0.030525802,Yes
IRF1-AS1,0.382612576,0.030550629,Yes
RABL3,0.17917833,0.030574038,Yes
RASGRF2,-0.272429336,0.030577733,Yes
SH3BGR,0.396359612,0.03057953,Yes
SWAP70,0.34995895,0.03058275,Yes
KRBA1,-0.262822716,0.030591344,Yes
VKORC1L1,-0.31614476,0.030633315,Yes
PIK3IP1,0.344305542,0.030643761,Yes
SLC20A2,-0.275676073,0.030669708,Yes
DOT1L,-0.298208738,0.030675465,Yes
CBFA2T2,-0.288625349,0.030687659,Yes
LOXL2,0.394535387,0.030717415,Yes
GMPPB,-0.194339185,0.030759289,Yes
LOC100996756,0.281605987,0.030779392,Yes
IPO9,-0.283684233,0.030805609,Yes
RCCD1,-0.278612192,0.030818257,Yes
HSPA14,-0.233097624,0.030870494,Yes
TET3,-0.362338586,0.030876919,Yes
CDV3,-0.201909153,0.030887951,Yes
SHISA7,-0.325529215,0.030902707,Yes
SLC41A3,0.168302985,0.030903441,Yes
RBIS,0.283540516,0.030942146,Yes
MAPKAP1,0.294212288,0.030947383,Yes
TMEM117,-0.29813362,0.030960263,Yes
WNT7A,-0.295538098,0.030961894,Yes
ANOS1,0.403310159,0.030964393,Yes
RPL37A,0.379427229,0.030970055,Yes
FAM114A2,0.292586326,0.030979012,Yes
BBOX1,0.301866608,0.030981812,Yes
SHE,0.350860943,0.031003148,Yes
C6orf62,0.286604833,0.031045096,Yes
ETV6,0.384470594,0.031065503,Yes
LOC107985541,-0.389684669,0.031067038,Yes
PTGFRN,-0.35959176,0.03109752,Yes
FAM200C,0.352758755,0.031109267,Yes
SNORA103,0.391309926,0.03115303,Yes
PRKCI,-0.380107537,0.031172698,Yes
TMEM44-AS1,0.386889698,0.031219582,Yes
CELF2,-0.348638411,0.031222056,Yes
SIVA1,0.308171227,0.031223414,Yes
LGI2,-0.393669509,0.031240967,Yes
SHLD2P3,0.239603243,0.031243011,Yes
ARMC7,-0.20732332,0.031243183,Yes
NOP10,0.287411588,0.031300765,Yes
FAM185A,-0.29404479,0.031300842,Yes
SYNJ1,-0.389284559,0.031300897,Yes
FYN,0.294743149,0.031306006,Yes
KL,-0.397052567,0.031330492,Yes
LRRIQ1,0.374313931,0.031335234,Yes
DSTNP2,0.362160859,0.031341695,Yes
STEAP1B,-0.385779584,0.031350085,Yes
PPDPF,0.381444224,0.031364587,Yes
PCDHA6,-0.391368699,0.031380948,Yes
TMEM131,-0.307103429,0.031389891,Yes
DENND2B,0.369482631,0.031416077,Yes
DBI,0.374039417,0.031442361,Yes
TNIK,0.338524317,0.031469391,Yes
TGM3,-0.248768451,0.03148629,Yes
CACFD1,0.395335451,0.031514972,Yes
RPL24,0.381755524,0.031514975,Yes
DIAPH3,0.374945444,0.031539743,Yes
POLG,-0.287597251,0.031541833,Yes
SMAP2,-0.386320783,0.03156277,Yes
CRACR2B,-0.387591115,0.031574942,Yes
KLF3,0.327053002,0.031634342,Yes
TUBB4A,-0.337436136,0.031636754,Yes
NIPAL4,-0.173319652,0.031643288,Yes
ZNF22-AS1,0.371694221,0.031652604,Yes
ARHGAP19,0.393790436,0.031685715,Yes
KRTAP5-AS1,-0.285292832,0.031691966,Yes
NPHP3,0.36490312,0.031731081,Yes
GFUS,-0.273287389,0.031732216,Yes
LRSAM1,-0.218908315,0.031743787,Yes
NUDT4,-0.315909507,0.031765142,Yes
DMRT2,-0.299529174,0.031769382,Yes
TTC27,0.242672252,0.031790558,Yes
LINC01119,-0.403719632,0.031796464,Yes
LL0XNC01-250H12.3,-0.402102199,0.031804981,Yes
STRBP,-0.345547022,0.031852481,Yes
RAB8A,0.246890083,0.031861036,Yes
CALY,0.238636894,0.0319102,Yes
OCIAD1-AS1,-0.353424272,0.031918908,Yes
ATP1A1,-0.412868877,0.03192233,Yes
GRM8,-0.392263087,0.031924329,Yes
VGF,-0.379967754,0.031956316,Yes
EML5,-0.194593962,0.031964738,Yes
TF,-0.206208485,0.0319832,Yes
CCDC15,0.392552012,0.031990459,Yes
LRFN2,-0.391348723,0.032031361,Yes
MTM1,0.382932006,0.032040414,Yes
AKT3,-0.38221526,0.032047217,Yes
PHACTR1,-0.335337792,0.032049822,Yes
ACTN2,-0.354420031,0.032079887,Yes
SLC2A11,-0.174921322,0.032093704,Yes
HACD3,0.226038484,0.032095165,Yes
TBC1D10B,-0.220896361,0.032107769,Yes
HYPK,0.358416825,0.03211541,Yes
TRIM22,0.387440652,0.032124631,Yes
AKR1C3,0.24059782,0.032152913,Yes
CAND2,-0.360609251,0.032155978,Yes
SNHG8,0.366061455,0.032162812,Yes
NIT2,-0.24042517,0.032166069,Yes
BUD31,0.320887688,0.032174076,Yes
HSPA12A-AS1,-0.379590675,0.032181006,Yes
KMT2E-AS1,0.37163257,0.032212298,Yes
RAB7A,0.137894692,0.032233728,Yes
LOC105369333,-0.366495968,0.032237861,Yes
CXXC4,-0.365531343,0.032259337,Yes
PLEKHA5,-0.389564864,0.032293725,Yes
SLC2A3,-0.335979476,0.032305669,Yes
FRG1HP,-0.277138326,0.032313525,Yes
STARD9,-0.379504815,0.032321442,Yes
SPSB3,0.25048477,0.03235981,Yes
LOC105370297,0.394283632,0.03236567,Yes
ARPIN,0.300937438,0.032385997,Yes
GPAT4,-0.226074896,0.03238676,Yes
PRUNE2,-0.389909246,0.032394187,Yes
PHF19,0.392087507,0.032400385,Yes
NEFM,-0.385229229,0.032421166,Yes
MIR4721,0.298475469,0.032424062,Yes
CLUL1,-0.349656563,0.032486604,Yes
CBLN2,-0.389675492,0.032507999,Yes
EMP1,0.198034635,0.032511986,Yes
GPR4,0.177867424,0.032514022,Yes
SPAST,-0.29593329,0.032554235,Yes
METTL25B,0.306213443,0.032568104,Yes
CPLX3,-0.327203427,0.032572308,Yes
HTR1B,-0.301020496,0.032597114,Yes
SEMA4D,-0.367509172,0.032643521,Yes
LY86,0.260451614,0.032655011,Yes
FAM111A-DT,0.376873824,0.03266509,Yes
FABP5,0.3643875,0.032676269,Yes
PUDP,0.223705148,0.032693256,Yes
INO80,-0.261380297,0.032704076,Yes
KBTBD8,-0.320660802,0.032711094,Yes
LOC102723996,-0.284135702,0.032717606,Yes
SF3A2,0.320355153,0.032768563,Yes
ZNF75A,-0.235329234,0.032778342,Yes
IFT27,0.287684113,0.032814028,Yes
FBLN1,0.362846093,0.032870961,Yes
C16orf87,-0.200908389,0.032886877,Yes
NT5C1A,-0.393352457,0.032895991,Yes
LINC03027,-0.361314818,0.032922718,Yes
NRM,0.374948478,0.032923647,Yes
RFX4,0.357067007,0.032929186,Yes
ESYT2,-0.311497203,0.032938168,Yes
TRAPPC11,-0.330010848,0.032939007,Yes
UTP11,-0.224923678,0.032959009,Yes
PHGDH,0.339126483,0.032981021,Yes
MIR3917,-0.353822964,0.032999364,Yes
RPL34,0.382119638,0.033007533,Yes
RANBP2,-0.355157549,0.033009762,Yes
PRR13,0.230131444,0.033011875,Yes
SESTD1,-0.26282178,0.033013616,Yes
NDUFA6,0.258758496,0.033066811,Yes
DGKA,-0.389358036,0.033095792,Yes
IRAG1,0.317406321,0.033098873,Yes
LOC105373273,0.356237078,0.033107525,Yes
GPR75-ASB3,0.282194366,0.033125902,Yes
CCSER2,-0.310504462,0.033175388,Yes
TGFBRAP1,-0.328620882,0.033176707,Yes
PEX3,-0.309101109,0.033233594,Yes
HIF1AN,-0.195812518,0.033256391,Yes
COX17,0.326254314,0.033262571,Yes
COG4,0.242234197,0.033302901,Yes
GNPAT,0.260653504,0.033323627,Yes
TCERG1,-0.332741384,0.033341878,Yes
LOC102723722,-0.323853701,0.033388678,Yes
PANK1,-0.322865254,0.033399643,Yes
CNTNAP1,-0.368052954,0.033414331,Yes
VANGL2,0.386638669,0.033428722,Yes
RALGAPA1P1,-0.340474975,0.033440314,Yes
NUP37,0.35820554,0.033486395,Yes
MOB3C,0.383607917,0.033497641,Yes
LINC00987,-0.360718522,0.03352854,Yes
CDC27,-0.322387766,0.033533472,Yes
AMER3,-0.368775806,0.033574806,Yes
FUBP1,0.271530346,0.03360994,Yes
SPCS3,-0.367289017,0.033611081,Yes
FMNL1-AS1,-0.368747691,0.033632692,Yes
SLC35B3,-0.22390248,0.033634117,Yes
RPL26,0.348188472,0.033636145,Yes
LOC105371224,0.310286852,0.033641145,Yes
ROR1,0.376392099,0.033644354,Yes
KLF9,-0.342092569,0.033651051,Yes
KIF21A,-0.344827172,0.033674695,Yes
TUB,-0.356315989,0.033680974,Yes
RAB34,0.374337407,0.033695163,Yes
AJAP1,-0.377703534,0.033699547,Yes
VPS53,-0.300404522,0.03371432,Yes
DKK2,-0.359263269,0.03374097,Yes
FMO2,0.31702829,0.033753456,Yes
GRIN1,-0.359539068,0.033798958,Yes
UBALD1,-0.235838054,0.033799305,Yes
PRKG1,0.34533692,0.033808116,Yes
EDEM3,-0.344536495,0.033820277,Yes
CNTN3,-0.375543243,0.033839316,Yes
RPS10,0.354954296,0.033855969,Yes
CEP89,0.235508475,0.033886928,Yes
CRYL1,0.391790438,0.033929099,Yes
LRRTM1,-0.369137503,0.033933487,Yes
ZFP3,0.273092932,0.033948473,Yes
LOC102723675,-0.37895229,0.033995776,Yes
ARMC9,-0.291948602,0.034000117,Yes
RBM4,0.241207859,0.034015876,Yes
LUZP2,-0.361510124,0.034048787,Yes
EHD3,-0.339327011,0.034092062,Yes
LOC100128340,-0.291767652,0.034100958,Yes
TGM2,0.348087895,0.034143727,Yes
ARHGEF9,-0.369899408,0.034158341,Yes
LGMN,-0.296984783,0.034169836,Yes
GPLD1,-0.329244568,0.034190134,Yes
CLCN7,-0.264864577,0.034200473,Yes
RPL26L1,0.226571177,0.034209026,Yes
CYP4X1,-0.385044866,0.034212125,Yes
MAP7D1,-0.212910204,0.03421704,Yes
FBXL9P,-0.378770476,0.034225214,Yes
SEMA6C,-0.220930941,0.03424522,Yes
FAM201A,-0.372095636,0.03432019,Yes
SLC10A7,0.336939467,0.0343217,Yes
SELENOM,0.336980477,0.034355491,Yes
PDCD10,-0.301228615,0.034364428,Yes
PIWIL1,-0.281854075,0.034383842,Yes
DFFA,0.354497615,0.034384865,Yes
ERV3-1,-0.365188704,0.034425416,Yes
PFKP,-0.361782042,0.034443963,Yes
TAF5L,-0.274147047,0.034490813,Yes
POGLUT2,0.37510853,0.034502022,Yes
ARL17B,0.367947302,0.03450996,Yes
HDAC9,-0.363121675,0.034511111,Yes
CDC40,-0.378784095,0.034544294,Yes
NDUFA6-DT,-0.318789336,0.034570857,Yes
H2AX,0.372201957,0.034573048,Yes
XPNPEP3,0.352106752,0.034590038,Yes
RBM42,0.307920392,0.034627428,Yes
ARSA,-0.24567913,0.034641299,Yes
TBXAS1,0.303578687,0.034648148,Yes
SART1,0.222425862,0.034661346,Yes
DHX35,-0.248522419,0.034686483,Yes
LOC107987245,-0.380011185,0.034698585,Yes
LRR1,0.373784394,0.034731296,Yes
TAF12,0.329234126,0.034735818,Yes
VWA2,-0.374338449,0.034765151,Yes
AGAP11,0.376412645,0.034784508,Yes
ZNF71,-0.263761938,0.034805893,Yes
VEZT,-0.295411109,0.03481813,Yes
SHISA2,-0.27662684,0.034829657,Yes
MSI1,0.380538247,0.034833773,Yes
RAB6B,-0.359037136,0.034837018,Yes
AK7,-0.386069201,0.03484076,Yes
BIRC3,0.303956858,0.03485153,Yes
MT2A,0.278320768,0.034873104,Yes
MYLK,0.352198064,0.034908758,Yes
YEATS2-AS1,-0.384514182,0.034930786,Yes
CNOT6,0.257947609,0.034943951,Yes
CDK2AP2,0.362758263,0.034971524,Yes
STXBP1,-0.361380355,0.034973178,Yes
L1CAM,-0.352359033,0.035022462,Yes
TNKS1BP1,-0.198466225,0.035031942,Yes
SYP-AS1,-0.23422076,0.03504096,Yes
NFKBIL1,0.263484754,0.035052811,Yes
ARHGAP21,-0.264543971,0.035058575,Yes
GPR85,-0.330634818,0.035073176,Yes
ZNF169,-0.335977568,0.035119544,Yes
ALG8,0.256846349,0.035127775,Yes
ADM5,-0.359484302,0.035128167,Yes
ABHD17C,0.27838442,0.035150112,Yes
PLGRKT,0.36940549,0.035164527,Yes
KIF9-AS1,0.299249222,0.035178405,Yes
RALGAPA1,-0.350041705,0.035201509,Yes
LOC102724135,0.368735926,0.035214845,Yes
TESK2,-0.362677813,0.035241927,Yes
CD37,0.302779388,0.035254445,Yes
FYCO1,0.374819415,0.035277001,Yes
ZNF701,0.363242735,0.035288397,Yes
CCDC85A,-0.374081676,0.03529139,Yes
GLRX,0.331081438,0.035321974,Yes
GCLM,0.260335984,0.035323751,Yes
LOC105372281,-0.350526282,0.035333454,Yes
SSH3,0.321542838,0.03534226,Yes
TMEM191C,-0.324254656,0.035351726,Yes
SCN1A,-0.357515205,0.035382136,Yes
LOC101927830,0.359040755,0.035383,Yes
FLRT3,-0.3766317,0.035418543,Yes
ZNF713,-0.351220264,0.035492778,Yes
TMED9,0.281797028,0.035493299,Yes
LIN52,0.209036938,0.0354963,Yes
RPS20,0.372051501,0.035526146,Yes
PANX1,-0.372253817,0.035557873,Yes
CHIC1,-0.376068892,0.035565901,Yes
TMEM240,-0.287102238,0.035579126,Yes
SRSF10,0.212587031,0.035605818,Yes
PTPRD-AS1,0.36663451,0.035617438,Yes
HTR7,-0.352226276,0.035648813,Yes
LOC105373311,-0.377762875,0.03568091,Yes
NSMCE1,0.323606344,0.035691712,Yes
FANCD2,-0.376203177,0.035695027,Yes
MAPK8IP3,-0.299636748,0.035723021,Yes
DPH6,0.29531893,0.035742307,Yes
FCHSD1,-0.292744688,0.035751266,Yes
FANCL,-0.280382003,0.035759468,Yes
FOXN3,0.269405216,0.035764297,Yes
SLC40A1,0.365249362,0.035812692,Yes
MRPL58,0.248061298,0.035819267,Yes
PTPN6,0.260439627,0.035937426,Yes
PSME3,-0.181717632,0.035962795,Yes
RNF114,0.347571492,0.035973499,Yes
SLC22A6,-0.341258313,0.035980805,Yes
NEK10,-0.352893317,0.036027565,Yes
MYL6,0.302857747,0.036050631,Yes
ATP2B1-AS1,-0.367613261,0.036052366,Yes
RNFT1,0.365625121,0.036087042,Yes
KCNH8,-0.279611007,0.03613452,Yes
MXI1,0.361923275,0.036165147,Yes
ADIPOR1,0.180918409,0.036173311,Yes
TGFB1,0.367347257,0.036176213,Yes
ZIM2-AS1,-0.368806713,0.036195426,Yes
TMPO,0.275103231,0.036206242,Yes
FAM120A2P,-0.304017291,0.036207016,Yes
LINC00643,-0.341203511,0.036229025,Yes
OXNAD1,-0.302504067,0.036242924,Yes
LOC105377887,-0.380853282,0.036247477,Yes
BROX,0.266553849,0.036283344,Yes
NUCB1,0.291410091,0.036301178,Yes
MAP9-AS1,-0.331105435,0.036328477,Yes
DDHD2,-0.364887298,0.036369662,Yes
ERLIN2,0.332737693,0.036376891,Yes
LOC102725228,0.264075724,0.036398871,Yes
ZNF236,-0.326282871,0.03640632,Yes
HMG20B,0.372053718,0.036418162,Yes
MXD3,0.278843926,0.036425993,Yes
PAK3,-0.355852682,0.036442946,Yes
MAN2B1,0.342685735,0.036461973,Yes
GET1,0.231033021,0.036486455,Yes
HCN1,-0.376377361,0.036508412,Yes
GABPB1-IT1,-0.343363652,0.036560941,Yes
GPR89B,0.194742218,0.036575024,Yes
CCDC167,0.366996646,0.036604044,Yes
AP1M1,-0.261611134,0.036610405,Yes
GABRD,-0.368799667,0.036647105,Yes
AAK1,-0.366553147,0.036705166,Yes
CRYZL2P,0.340896924,0.0367115,Yes
SKP2,0.304355096,0.03672352,Yes
ZBED4,-0.23885879,0.036760165,Yes
TCP1,0.315342753,0.03677419,Yes
SDE2,0.275938215,0.036825728,Yes
AFAP1,-0.286094302,0.036830484,Yes
TLCD1,0.357550514,0.036852631,Yes
ZNF660,0.285127261,0.036877433,Yes
STK36,0.356623029,0.036881521,Yes
GNS,0.184497119,0.036929005,Yes
LOC101927019,-0.310486034,0.036933949,Yes
IGFL4,0.269141622,0.03703753,Yes
GJB1,-0.191603662,0.037038584,Yes
CD63-AS1,0.368780285,0.037083974,Yes
SPAG9,-0.266831344,0.037092473,Yes
MID1IP1-AS1,0.363440822,0.03710039,Yes
KPNA6,-0.289038619,0.037101992,Yes
ATP6V0D1-DT,0.334406173,0.037103483,Yes
TMBIM4,0.223888597,0.037120839,Yes
FASTKD2,-0.280185614,0.037162848,Yes
ZNF799,0.318377627,0.03717104,Yes
PLEKHG5,-0.341906918,0.037180288,Yes
HYAL3,-0.260130801,0.037191411,Yes
DENND5B,-0.344252416,0.037217109,Yes
SLC22A4,0.326034104,0.037218101,Yes
RASL11B,-0.369402384,0.037231483,Yes
CCDC186,-0.351389885,0.037231487,Yes
RAB37,-0.369948909,0.037232307,Yes
SMG5,0.33350586,0.037249848,Yes
ATP13A4-AS1,0.31541787,0.037266552,Yes
WDFY2,0.373094522,0.037276659,Yes
PBXIP1,0.314628642,0.037289505,Yes
NBEA,-0.32694372,0.037289847,Yes
CDKN1A,0.186824654,0.037479132,Yes
DRD2,-0.212965637,0.037480045,Yes
MRTFB,-0.359584607,0.037537554,Yes
OPRD1,-0.365817832,0.037555858,Yes
SLITRK5,-0.350111467,0.037573436,Yes
NOVA1,-0.259856451,0.037592877,Yes
ZFHX4-AS1,0.309408564,0.037603626,Yes
GRK3,-0.366813588,0.037641767,Yes
ACAA2,0.345458027,0.037652811,Yes
SCARA3,0.359545976,0.037654613,Yes
DRAIC,-0.36326422,0.037674333,Yes
TTC7B-AS1,0.298988803,0.037697928,Yes
CHN1,-0.312608952,0.037699562,Yes
DGKE,-0.366650039,0.037715586,Yes
SRGAP3,-0.35233014,0.037744901,Yes
PLB1,-0.372111859,0.037751265,Yes
KIAA1614,0.318688371,0.037758013,Yes
GGA3,-0.320289779,0.037774338,Yes
OXCT1,-0.360431996,0.037798771,Yes
FAM187A,0.362675879,0.037827764,Yes
HLA-B,0.375183576,0.037850261,Yes
PTGER3,-0.213460404,0.037859104,Yes
CASC15,-0.368207018,0.037904789,Yes
WDR41,-0.271223294,0.037934491,Yes
VAX1,-0.370524091,0.037943576,Yes
CTDSPL,0.355982025,0.037950752,Yes
SCARB1,-0.292214352,0.038020904,Yes
ESD,0.197779704,0.038085242,Yes
EMD,0.273327272,0.038129991,Yes
SLC19A2,-0.279992382,0.038152756,Yes
POLR2D,-0.175842304,0.03816153,Yes
RIPK1,0.352463269,0.03819428,Yes
SLC25A30,0.264708697,0.038209818,Yes
TTI1,-0.263816141,0.03821233,Yes
RPL27,0.347196768,0.038238646,Yes
NYNRIN,0.343777189,0.03826659,Yes
LRRC40,-0.321219564,0.038310465,Yes
MYLK-AS1,0.338727968,0.038324505,Yes
REEP1,-0.363586616,0.038332549,Yes
MOG,-0.207040701,0.038347753,Yes
FAM120C,0.314585611,0.03836638,Yes
DCUN1D5,-0.288612624,0.038393026,Yes
GPANK1,0.261630185,0.03840243,Yes
COL6A1,0.361022405,0.038409001,Yes
PCSK2,-0.358725085,0.038410415,Yes
AIP,0.295580668,0.03841246,Yes
UBE3C,-0.325256534,0.038424465,Yes
CDK5RAP3,0.224104983,0.03847758,Yes
LOC100130587,-0.349983315,0.038478578,Yes
RGPD3,-0.357568905,0.038512096,Yes
FAM20A,-0.292919811,0.038518077,Yes
ARMCX3,-0.297583649,0.038536078,Yes
ZFYVE28,-0.306163475,0.038549843,Yes
DERA,0.352591439,0.038563227,Yes
C2orf15,-0.359400786,0.038618333,Yes
TLCD2,0.3556963,0.038652106,Yes
CDC42EP3,-0.342769446,0.03865793,Yes
ZFC3H1,-0.298333081,0.038679203,Yes
FHIP1A,-0.347923124,0.038716828,Yes
ATP6V1G2,-0.287377395,0.038725768,Yes
SPART,0.29958609,0.038729718,Yes
C19orf12,-0.218227578,0.038769358,Yes
SLC22A5,0.340579353,0.038817152,Yes
HSD17B10,0.355275893,0.03885842,Yes
DDX10,-0.331723865,0.038874904,Yes
CERS6-AS1,-0.346260504,0.0389071,Yes
TCF12,0.358613456,0.03891489,Yes
EPS8,0.362269632,0.038929146,Yes
ZFYVE16,-0.272485165,0.038942267,Yes
ZNF131,-0.221034906,0.038960079,Yes
ACSL4,-0.359571128,0.038960382,Yes
KCTD7,0.208908402,0.039027742,Yes
IL34,-0.348045259,0.039073624,Yes
FXR1,0.27851801,0.039077158,Yes
TYROBP,0.279777524,0.039087871,Yes
UNC80,-0.361455407,0.039096901,Yes
LOC107984035,-0.32683935,0.039102269,Yes
UBL5,0.252038733,0.039131835,Yes
CCT4,0.343504141,0.039160165,Yes
AMZ2,0.178800446,0.039216716,Yes
MMP25,-0.362829183,0.039255548,Yes
SLC4A8,-0.359580246,0.039260987,Yes
AMIGO2,-0.353799171,0.039295883,Yes
PCDH19,-0.326199536,0.039304559,Yes
LATS2,0.347450681,0.039317346,Yes
TRIM72,-0.362469596,0.039331831,Yes
SMIM15,0.273188312,0.039360295,Yes
SNHG3,0.347432109,0.039377067,Yes
MYOZ3,-0.324283477,0.039395987,Yes
DDAH1,0.306997567,0.039409311,Yes
CCDC160,0.321894178,0.0394431,Yes
GALNT11,-0.241001642,0.039451161,Yes
RAB5IF,0.310223604,0.039471578,Yes
GATM,0.359733063,0.03948801,Yes
CCDC24,-0.281395576,0.039495451,Yes
ST8SIA3,-0.336044653,0.039499281,Yes
GPD1L,-0.311171972,0.039575071,Yes
CRPPA,-0.310803354,0.039575566,Yes
MYT1L,-0.354775786,0.039575596,Yes
SRGAP2,-0.26516138,0.03957635,Yes
THRIL,-0.357617369,0.039598503,Yes
LOC105375328,-0.333209712,0.039627436,Yes
MBTPS2,-0.305029271,0.039639998,Yes
PGBD4,-0.347003871,0.039642461,Yes
OSBPL9,0.220949094,0.039658099,Yes
AQP3,0.278896379,0.039672375,Yes
TMEM200B,0.355337762,0.039682048,Yes
ZNF567,-0.271909623,0.039688868,Yes
RHOT2,-0.282112596,0.039689806,Yes
SNCA-AS1,-0.296985515,0.039701036,Yes
WDR47,-0.354518206,0.039739515,Yes
ROBO2,-0.327472995,0.039835023,Yes
POR,0.230638841,0.039939366,Yes
LIG3,-0.21796602,0.040003864,Yes
SORT1,-0.312552659,0.040036853,Yes
LMNB1,0.3364349,0.040040749,Yes
AMOT,0.358466616,0.040059652,Yes
ELMOD1,-0.34954886,0.040071994,Yes
NPTXR,-0.359116033,0.040076285,Yes
SNX30,-0.339505871,0.040092088,Yes
RTF2,0.227889944,0.040099129,Yes
MRPS16,-0.200640406,0.04010064,Yes
LOC103611081,-0.295236019,0.040174488,Yes
MGST1,0.297944928,0.040249747,Yes
STRC,-0.350058899,0.040268918,Yes
RPL6,0.317237918,0.040274371,Yes
SYNE1,-0.349742413,0.040275531,Yes
PDGFB,-0.350853637,0.04027789,Yes
STAC,-0.287346552,0.04030814,Yes
ATP6V1C1,-0.358773221,0.040344611,Yes
OPA1,-0.33672884,0.040383062,Yes
IQGAP3,0.21329406,0.040417274,Yes
TAGLN2,0.355958607,0.040441026,Yes
MYL12A,0.359407811,0.040463806,Yes
ZNF638,-0.284463134,0.040471652,Yes
SEC61B,0.293877916,0.040484682,Yes
GGCT,-0.285717763,0.040545306,Yes
NUDCD3,-0.307283758,0.040571564,Yes
ACVR1B,-0.301422238,0.040601556,Yes
BGLAP,0.336710942,0.040627066,Yes
LOC105369380,0.348042055,0.040652213,Yes
RAB41,0.346444171,0.040657515,Yes
DCAF8,-0.28261609,0.040682326,Yes
PLCB4,-0.354039453,0.040703484,Yes
CAST,0.22817249,0.040711271,Yes
TYW1,0.221423285,0.040725568,Yes
KCNK9,-0.329224003,0.040728426,Yes
ENO1,0.267153345,0.040734168,Yes
UBLCP1,-0.315993852,0.040751002,Yes
TMEM254,0.2083234,0.040752053,Yes
HERC4,-0.238954525,0.040753227,Yes
COQ3,0.226666343,0.040776328,Yes
GOLGA2,-0.265353115,0.040781331,Yes
PTPRZ1,0.364893045,0.040789332,Yes
SNAI1,0.259377963,0.040797639,Yes
TCEAL7,-0.281780688,0.040832874,Yes
NLN,-0.299520313,0.040847075,Yes
GSG1,-0.358163171,0.040867885,Yes
CEP44,0.251283073,0.04092842,Yes
RAP1A,0.281769171,0.040956973,Yes
TMEM147,0.31334794,0.040961911,Yes
RTL8A,0.267960592,0.04101494,Yes
